date,wbe,fieldworker,type,xlambert,ylambert,year
2022-03-01,110,308,Couple,67629.41475563408,198044.5732988203,2022
2022-03-08,118,48,Group,56035.91895841264,177448.5709005613,2022
2022-01-31,505,11,Single,190464.81422830952,183351.95679998863,2022
2022-03-16,209,497,Single,102984.80252638046,211606.52067608573,2022
2022-03-10,507,429,Couple,144503.12258001525,190305.6297706915,2022
2022-02-23,122,407,Couple,68134.166482944,190067.02745509427,2022
2022-02-10,531,370,Sound,133571.67886712757,157283.63914363738,2022
2022-02-05,103,91,Group,34469.888716847796,183835.7970367903,2022
2022-02-24,110,289,Group,70178.3841137203,199465.16196746565,2022
2022-01-28,116,102,Sound,60301.09664885927,176061.7571359072,2022
2022-01-30,113,437,Single,55411.1400594342,183956.8072803961,2022
2022-02-09,122,25,Sound,79033.05504339577,191999.68044479005,2022
2022-01-21,122,417,Couple,72344.30741260554,191000.58679067064,2022
2022-01-27,118,235,Group,47831.72566679279,175435.55456358753,2022
2022-01-28,105,168,Sound,66248.51815214336,205491.11339178216,2022
2022-01-24,526,184,Single,137362.3121079385,172986.37122984417,2022
2022-02-08,106,434,Group,73025.94430304707,214863.7252441011,2022
2022-01-31,114,50,Couple,51936.90004727506,198193.0450616628,2022
2022-01-25,209,450,Couple,106408.15979811024,217338.91989789344,2022
2022-03-17,202,83,Couple,93678.91687999082,209889.42651282437,2022
2022-03-05,243,82,Single,76436.27268506527,213803.04159294255,2022
2022-01-27,113,18,Single,59680.055007734816,181340.3420916684,2022
2022-03-22,121,282,Couple,75845.91074182898,182854.8127142396,2022
2022-02-10,110,361,Single,73192.54314890446,201038.42575101551,2022
2022-02-06,130,33,Couple,57669.55608366434,216214.80449874047,2022
2022-03-29,118,470,Couple,48177.13353923005,176456.33914777357,2022
2022-03-13,531,37,Sound,129931.38343957678,160644.7721043676,2022
2022-02-04,121,455,Group,71044.56013518627,186438.28814386204,2022
2022-02-21,103,91,Single,35862.20620193753,183805.4031825615,2022
2022-02-24,526,67,Couple,136669.23003646356,159029.3824715456,2022
2022-03-01,240,415,Single,100071.2069372413,170841.6435409179,2022
2022-02-03,121,411,Group,84916.55477288306,188448.58963561244,2022
2022-03-29,115,144,Couple,81704.95269031977,171654.1584182689,2022
2022-03-20,120,478,Group,38344.49538442152,174087.28827150445,2022
2022-02-13,122,161,Group,68972.72639991627,184701.7247206364,2022
2022-03-21,221,404,Single,97377.54241927664,208960.41426950507,2022
2022-03-03,207,530,Group,114942.8251183606,194538.6047227364,2022
2022-02-01,308,381,Sound,176444.71594655595,239359.8978797961,2022
2022-03-25,110,312,Sound,80901.12088451537,194946.9492418468,2022
2022-03-26,115,357,Single,80712.57320348415,168737.97776643746,2022
2022-03-19,,474,Single,104888.29104411052,214886.45407820216,2022
2022-01-26,118,537,Group,52052.57709093767,179613.97406557295,2022
2022-03-11,101,55,Single,38167.762919497225,199611.45296900067,2022
2022-02-24,121,545,Couple,73086.8102575107,184947.7334912084,2022
2022-01-24,239,8,Single,88935.66396265752,172345.2291467823,2022
2022-02-17,102,378,Single,48474.10940629766,173090.8111669207,2022
2022-03-05,229,62,Group,98650.37102210573,205657.52976140287,2022
2022-02-08,207,402,Sound,112537.21660149994,197689.22126544267,2022
2022-03-26,312,12,Group,153239.38707981588,235151.6808204204,2022
2022-02-06,207,502,Group,109170.0366300157,199779.6428427426,2022
2022-02-24,122,42,Couple,76135.91850032726,189541.23012518696,2022
2022-03-02,312,89,Couple,161173.1936596836,237192.9522134308,2022
2022-01-25,118,537,Single,45829.360335464735,179237.9400666263,2022
2022-02-10,507,485,Couple,142856.9141507098,184790.63212941308,2022
2022-01-18,102,198,Couple,50984.50830809603,167843.09245205298,2022
2022-03-17,202,83,Single,93724.91426970148,210535.18839608505,2022
2022-03-16,113,232,Couple,57913.89667204562,179502.91780821886,2022
2022-02-06,505,117,Couple,187954.64133407245,177941.52657039836,2022
2022-02-24,224,254,Group,89711.62102498181,204535.0032074675,2022
2022-02-07,116,86,Couple,58244.440159793376,179233.533363631,2022
2022-01-23,122,499,Single,65505.886797419735,186036.71970002353,2022
2022-03-20,130,487,Sound,62594.21723387149,216264.4275666289,2022
2022-03-27,116,324,Group,59009.89354230436,172128.67372458242,2022
2022-02-07,128,183,Group,44144.625023697314,206331.69861151744,2022
2022-02-08,116,220,Sound,60860.38682028398,167376.8296189094,2022
2022-03-01,128,295,Single,47675.5474963318,209137.81488864683,2022
2022-03-18,102,126,Couple,41561.25519029617,166553.35990884714,2022
2022-01-15,102,105,Group,41157.67070280328,171564.98887968436,2022
2022-01-28,240,223,Sound,102547.83641454251,171706.0547696026,2022
2022-03-31,102,263,Group,47215.862739693344,162787.69981924724,2022
2022-02-15,128,183,Single,43937.23535073483,207194.184648945,2022
2022-03-11,254,252,Sound,87140.54473007901,211527.61419482157,2022
2022-02-07,114,441,Sound,50038.88226259353,204672.9953412889,2022
2022-02-13,108,490,Sound,71333.02004608992,178212.43943244778,2022
2022-03-18,118,167,Sound,54324.55799527984,176146.9564776197,2022
2022-01-30,128,489,Couple,48757.99227469634,210017.0243507931,2022
2022-03-05,102,213,Sound,43440.923775303425,170574.39042516518,2022
2022-03-27,110,94,Single,80241.97293737283,201964.73709139787,2022
2022-01-17,121,101,Single,85434.8238226288,195383.74718397856,2022
2022-02-13,107,218,Sound,74573.58488003995,161694.23535189126,2022
2022-02-10,110,280,Single,82784.1440191066,206290.7144682044,2022
2022-02-26,105,149,Couple,63540.71751356304,194044.69048469048,2022
2022-01-25,122,42,Group,69518.43947529393,185107.7854471467,2022
2022-02-01,308,381,Sound,177376.3806490585,240846.0858244961,2022
2022-02-24,114,233,Couple,42252.73684141514,202310.48465015087,2022
2022-03-29,110,79,Group,72579.39228080964,202078.8859078493,2022
2022-02-12,103,259,Sound,26496.5464359349,187286.910397538,2022
2022-03-28,102,406,Couple,45682.13402131804,163015.96713175718,2022
2022-02-13,108,23,Single,73981.45920861057,174288.8362646643,2022
2022-03-23,109,507,Sound,26293.80818497062,172902.85522050504,2022
2022-03-13,507,260,Sound,139027.1122893347,189896.16487884897,2022
2022-02-08,113,63,Single,46867.97018844704,180400.1702040136,2022
2022-01-20,106,422,Couple,72402.65234932545,224517.49403324723,2022
2022-01-31,121,411,Group,84767.92239212236,189954.498875523,2022
2022-02-05,121,162,Sound,71555.82979097233,181291.85722915735,2022
2022-02-06,116,409,Couple,62029.41492294033,174126.7628336083,2022
2022-03-19,115,357,Single,80173.65852229683,167873.21458008792,2022
2022-02-05,116,324,Sound,60081.66541909092,168756.57442163583,2022
2022-01-31,122,192,Sound,77759.24833975732,193367.4584102817,2022
2022-02-01,240,415,Couple,98402.81150152246,169287.23102264013,2022
2022-02-05,130,1,Group,54432.723959474795,215258.23648018483,2022
2022-02-08,213,67,Single,115133.66434649393,165235.3348113736,2022
2022-02-02,102,414,Single,41021.25312982946,162632.06470780447,2022
2022-01-25,114,508,Single,46551.29707729575,201708.76659248117,2022
2022-02-04,505,452,Single,193602.19091127935,182937.6706091743,2022
2022-02-19,107,275,Single,65628.99474745095,165509.45252412837,2022
2022-02-14,116,98,Couple,61906.15731104839,170577.09100308456,2022
2022-03-01,130,412,Couple,62582.16371410875,216765.1043356713,2022
2022-03-14,240,420,Single,111785.97924373225,171234.97732946463,2022
2022-02-02,116,220,Group,59849.69495093112,168414.0575151816,2022
2022-02-01,122,368,Single,72020.1002539028,189273.32213596813,2022
2022-03-02,114,508,Group,46434.46570214587,202455.83267791104,2022
2022-03-19,122,504,Group,68862.66246824968,193383.65185496677,2022
2022-01-15,505,477,Sound,189514.76984086455,179057.90608153958,2022
2022-01-25,337,190,Sound,154064.57687585044,189585.43474016897,2022
2022-03-03,216,327,Couple,122842.03276469948,205788.07802099548,2022
2022-03-30,105,115,Group,54039.25249575732,196924.13736495748,2022
2022-03-01,116,435,Group,60515.041750173594,170745.24818310328,2022
2022-01-30,113,257,Couple,54283.80512216236,187527.1963860728,2022
2022-02-13,117,248,Sound,50585.91690475604,188068.1057175435,2022
2022-03-05,105,168,Couple,64180.60669582678,204820.19324110076,2022
2022-02-05,109,140,Couple,32646.073002243455,178172.32958055753,2022
2022-02-02,102,438,Couple,44750.184141584454,167702.8487311732,2022
2022-02-28,108,397,Couple,68067.8800807129,174111.217237466,2022
2022-02-28,110,289,Group,75707.62232608526,204136.7742370665,2022
2022-03-08,505,4,Couple,188090.09803905257,176976.64666809235,2022
2022-03-15,114,268,Sound,48424.98305623696,203061.8874643622,2022
2022-02-13,118,235,Sound,49959.62407646708,175318.47642724868,2022
2022-02-14,102,181,Sound,42890.89848789832,164437.18780532386,2022
2022-03-17,240,388,Single,98404.16195479,166231.46219354123,2022
2022-02-23,114,21,Single,51428.072235271975,199422.31653883215,2022
2022-01-18,110,59,Sound,74299.73249754013,195104.0867474852,2022
2022-02-09,101,391,Group,33316.04470139669,202327.22026969583,2022
2022-02-10,533,460,Couple,163024.5019099948,168033.42776904628,2022
2022-02-17,121,294,Couple,79324.23154101422,180921.80322885327,2022
2022-01-29,116,341,Single,63813.81115400168,176292.8508326467,2022
2022-02-14,207,214,Single,116015.96701930824,193850.81382945832,2022
2022-01-19,222,492,Single,127322.45827294615,174804.05539143458,2022
2022-03-13,118,281,Group,42169.600114755725,179207.60953266453,2022
2022-01-24,102,213,Sound,42269.62848418832,171860.75099391676,2022
2022-01-24,110,236,Couple,82759.06183340488,208342.84248121548,2022
2022-01-23,115,13,Couple,83602.0372772785,169758.99595779087,2022
2022-02-14,108,397,Sound,67139.77576676266,173595.52039513364,2022
2022-01-26,229,451,Sound,105876.07734213152,206391.50571322627,2022
2022-02-25,126,536,Sound,78860.81131371694,216636.8941212548,2022
2022-02-10,113,333,Sound,58821.44380173751,187053.49395309857,2022
2022-01-26,102,213,Group,43047.119858971666,170011.69440002088,2022
2022-03-28,118,436,Group,36507.32012032175,178842.62382532097,2022
2022-01-18,122,322,Single,63494.824699570294,189828.03133047093,2022
2022-03-18,,418,Single,79859.86113373045,220534.76181528345,2022
2022-03-24,118,531,Group,36416.71575114342,175443.80359528214,2022
2022-02-25,116,479,Group,64240.682960907754,170228.1559480261,2022
2022-02-26,128,489,Group,44099.68865703384,207685.52711580973,2022
2022-03-12,124,224,Single,59427.053395023206,218366.57111482788,2022
2022-02-24,118,201,Sound,39500.65226081648,183080.8725270331,2022
2022-02-24,116,244,Couple,66533.75492157575,168749.91804829147,2022
2022-03-25,109,346,Couple,27710.696308391707,174016.5376272453,2022
2022-03-28,121,269,Single,75787.4788181458,187297.4097683504,2022
2022-01-24,526,347,Single,134874.95998184508,164974.61040737852,2022
2022-02-03,229,315,Single,102331.44842836433,204079.2345746113,2022
2022-02-27,102,243,Sound,39038.07301451854,161048.16609573923,2022
2022-02-24,224,254,Group,88862.41433523738,204083.62886606905,2022
2022-03-08,326,128,Single,173441.30956941156,234066.5895866044,2022
2022-01-17,213,67,Couple,112873.20229968226,169840.72704775166,2022
2022-03-31,254,400,Single,86585.58842075263,211242.70390425625,2022
2022-02-26,533,494,Single,164088.90085648515,168134.97906223964,2022
2022-03-23,121,267,Couple,83924.24459558498,185355.56007717084,2022
2022-02-11,117,407,Group,55648.206783654154,190939.29189530853,2022
2022-03-12,240,88,Group,98216.54414200128,176275.82230299804,2022
2022-03-22,121,282,Group,77576.94734794064,183499.7205512868,2022
2022-01-16,108,383,Single,66066.52698047362,175414.89656594954,2022
2022-03-25,121,367,Group,86777.62028673817,184785.96321356017,2022
2022-03-14,531,37,Group,129917.1282905848,160558.45403466187,2022
2022-03-23,105,68,Single,56931.367526112066,194637.5021728296,2022
2022-02-08,113,431,Sound,54267.892913972944,181801.29293746225,2022
2022-03-16,121,367,Group,82868.23528615813,186945.02322725207,2022
2022-01-17,121,195,Single,77902.58403395409,189820.65102495343,2022
2022-03-07,337,335,Single,153016.11587476757,187843.93913675935,2022
2022-03-06,122,433,Couple,65520.20643720038,193001.07038895972,2022
2022-03-31,105,410,Sound,53274.482925060685,205012.6663615005,2022
2022-01-22,128,553,Sound,39660.370709359224,207720.9746758556,2022
2022-03-18,202,461,Group,96018.3109731392,215163.92919783015,2022
2022-01-15,122,182,Group,71356.16832756276,193186.72359802853,2022
2022-03-23,216,423,Group,121654.47727122772,202672.00680451095,2022
2022-02-14,121,446,Group,78060.41053952395,190320.2367538055,2022
2022-02-10,110,280,Group,84136.21225138754,207735.18365974352,2022
2022-02-19,121,459,Group,71614.34439374575,183546.75793004967,2022
2022-01-29,128,350,Couple,51360.653056890485,208266.07779066823,2022
2022-01-21,213,132,Sound,119499.08779119134,165997.89025073498,2022
2022-03-04,130,412,Sound,60981.3615928207,215814.197458094,2022
2022-03-06,122,372,Sound,65917.7406882139,185070.79555710033,2022
2022-01-30,115,227,Group,83386.44239302159,163911.12965570576,2022
2022-01-26,217,457,Couple,114171.06863922514,204196.28994771,2022
2022-03-10,110,215,Sound,70837.2902339795,195125.4495867249,2022
2022-01-31,202,200,Couple,95061.73935863117,212139.16357234027,2022
2022-01-28,103,32,Couple,31306.25500977454,180977.71719955467,2022
2022-03-30,210,159,Single,117185.70106177311,176825.08451972157,2022
2022-03-29,121,459,Couple,71729.76453037345,182696.82544680775,2022
2022-02-24,110,40,Sound,72516.56682853923,195368.2815322131,2022
2022-03-18,128,489,Single,48152.31250322235,208635.01317013707,2022
2022-03-05,108,373,Sound,74008.4347077765,177883.2641878575,2022
2022-02-09,116,136,Sound,60270.082615273786,174369.26654124726,2022
2022-02-23,248,265,Sound,114231.47117862783,172654.16155863833,2022
2022-02-21,308,131,Group,178004.00732520755,236626.89381746668,2022
2022-01-19,526,506,Sound,135939.21282607398,158796.69239179604,2022
